id;Группа тем;Тема
0;ЖКХ;Жалобы на управляющие компании
1;Общественный транспорт;Создание доступной среды для инвалидов
2;Здравоохранение/Медицина;Содержание больниц
3;Социальное обслуживание и защита;Дети и многодетные семьи
4;Социальное обслуживание и защита;Оказание гос. соц. помощи
5;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
6;Социальное обслуживание и защита;Оказание гос. соц. помощи
7;Здравоохранение/Медицина;Жалобы на врачей
8;ЖКХ;Жалобы на управляющие компании
9;Социальное обслуживание и защита;Оказание гос. соц. помощи
10;Социальное обслуживание и защита;Дети и многодетные семьи
11;Социальное обслуживание и защита;Дети и многодетные семьи
12;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
13;Дороги;Освещение неисправно или отсутствует
14;Социальное обслуживание и защита;Оказание гос. соц. помощи
15;Здравоохранение/Медицина;Очередь
16;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
17;Образование;Дистанционное образование
18;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
19;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
20;Здравоохранение/Медицина;Льготные лекарства
21;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
22;Социальное обслуживание и защита;Дети и многодетные семьи
23;Дороги;Ремонт дороги
24;Социальное обслуживание и защита;Оказание гос. соц. помощи
25;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
26;Социальное обслуживание и защита;Оказание гос. соц. помощи
27;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
28;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
29;Дороги;Организация парковок
30;Благоустройство;★ Неисправные фонари освещения
31;Благоустройство;Борщевик Сосновского
32;Социальное обслуживание и защита;★ Информационно-техническая поддержка
33;Общественный транспорт;График движения общественного транспорта
34;ЖКХ;Очередь
35;Социальное обслуживание и защита;Оказание гос. соц. помощи
36;Дороги;Ремонт дороги
37;Образование;Проблемы с отоплением детских садов и школ
38;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
39;Общественный транспорт;График движения общественного транспорта
40;Образование;Дистанционное образование
41;Общественный транспорт;Содержание остановок
42;Благоустройство;★ Открытые канализационные люки
43;Здравоохранение/Медицина;Вакцинация
44;Здравоохранение/Медицина;Очередь
45;ЖКХ;Ненадлежащее качество или отсутствие отопления
46;Мусор/Свалки/ТКО;Проблемы с контейнерами
47;Здравоохранение/Медицина;Проблемы в работе горячих линий
48;Образование;Питание
49;ЖКХ;Завышение платы за коммунальные услуги
50;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
51;Образование;★ Информационно-техническая поддержка
52;Мусор/Свалки/ТКО;Плата за вывоз ТКО
53;Мусор/Свалки/ТКО;Плата за вывоз ТКО
54;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
55;Социальное обслуживание и защита;Оказание гос. соц. помощи
56;Коронавирус;Тесты на коронавирус
57;ЖКХ;Плохое качество воды
58;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
59;Образование;Детские оздоровительные лагеря
60;Социальное обслуживание и защита;Плата за вывоз ТКО
61;Социальное обслуживание и защита;Оказание гос. соц. помощи
62;ЖКХ;Сборы за капитальный ремонт
63;Социальное обслуживание и защита;Дети и многодетные семьи
64;Благоустройство;Отсутствие детских площадок
65;Дороги;Содержание, ремонт и обустройство тротуаров
66;ЖКХ;Жалобы на управляющие компании
67;Социальное обслуживание и защита;Оказание гос. соц. помощи
68;Дороги;Пробки
69;Благоустройство;Уборка территорий
70;Социальное обслуживание и защита;Дети и многодетные семьи
71;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
72;Общественный транспорт;График движения общественного транспорта
73;Дороги;Ремонт дороги
74;Здравоохранение/Медицина;Профильный осмотр
75;Коронавирус;Коронавирусные ограничения
76;Благоустройство;Безопасность общественных пространств
77;Здравоохранение/Медицина;Льготные лекарства
78;Мусор/Свалки/ТКО;Плата за вывоз ТКО
79;Мусор/Свалки/ТКО;Плата за вывоз ТКО
80;Социальное обслуживание и защита;Дети и многодетные семьи
81;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
82;Социальное обслуживание и защита;Оказание гос. соц. помощи
83;Общественный транспорт;График движения общественного транспорта
84;Дороги;Ремонт дороги
85;Образование;Образовательный процесс
86;Здравоохранение/Медицина;Очередь
87;Здравоохранение/Медицина;Тесты на коронавирус
88;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
89;Общественный транспорт;Льготы на проезд и тарифы
90;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
91;Социальное обслуживание и защита;Оказание гос. соц. помощи
92;Социальное обслуживание и защита;Дети и многодетные семьи
93;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
94;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
95;Здравоохранение/Медицина;Профильный осмотр
96;Образование;Питание
97;Мусор/Свалки/ТКО;Плата за вывоз ТКО
98;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
99;Социальное обслуживание и защита;Оказание гос. соц. помощи
100;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
101;ЖКХ;Ненадлежащее качество или отсутствие отопления
102;Общественный транспорт;Изменить или отменить маршрут
103;ЖКХ;Ненадлежащее качество или отсутствие отопления
104;Социальное обслуживание и защита;Дети и многодетные семьи
105;Социальное обслуживание и защита;Оказание гос. соц. помощи
106;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
107;ЖКХ;Ненадлежащее качество или отсутствие отопления
108;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
109;Социальное обслуживание и защита;Дети и многодетные семьи
110;Здравоохранение/Медицина;Содержание больниц
111;Общественный транспорт;Изменить или отменить маршрут
112;Социальное обслуживание и защита;Дети и многодетные семьи
113;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
114;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
115;Социальное обслуживание и защита;Дети и многодетные семьи
116;ЖКХ;Завышение платы за коммунальные услуги
117;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
118;Социальное обслуживание и защита;Оказание гос. соц. помощи
119;Дороги;Ремонт дороги
120;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
121;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
122;Здравоохранение/Медицина;Льготные лекарства
123;Здравоохранение/Медицина;Ошибки врачей, халатность
124;ЖКХ;Отсутствие горячей воды
125;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
126;Социальное обслуживание и защита;Дети и многодетные семьи
127;Социальное обслуживание и защита;Оказание гос. соц. помощи
128;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
129;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
130;Газ и топливо;Запрос на газификацию и её условия
131;ЖКХ;Жалобы на управляющие компании
132;Благоустройство;Отсутствие детских площадок
133;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
134;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
135;ЖКХ;★ Протечки с кровли (системы водостока)
136;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
137;Социальное обслуживание и защита;Дети и многодетные семьи
138;Здравоохранение/Медицина;Очередь
139;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
140;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
141;Социальное обслуживание и защита;Оказание гос. соц. помощи
142;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
143;Социальное обслуживание и защита;Дети и многодетные семьи
144;Социальное обслуживание и защита;Дети и многодетные семьи
145;Социальное обслуживание и защита;Дети и многодетные семьи
146;Мусор/Свалки/ТКО;Проблемы с контейнерами
147;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
148;Общественный транспорт;Отсутствие остановочных пунктов
149;Социальное обслуживание и защита;Оказание гос. соц. помощи
150;Социальное обслуживание и защита;Оказание гос. соц. помощи
151;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
152;Социальное обслуживание и защита;Оказание гос. соц. помощи
153;Здравоохранение/Медицина;Содержание больниц
154;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
155;Благоустройство;Безопасность общественных пространств
156;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
157;Благоустройство;★ Открытые канализационные люки
158;Социальное обслуживание и защита;Оказание гос. соц. помощи
159;Социальное обслуживание и защита;Оказание гос. соц. помощи
160;ЖКХ;Ненадлежащее качество или отсутствие отопления
161;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
162;ЖКХ;Отсутствие горячей воды
163;Мусор/Свалки/ТКО;Плата за вывоз ТКО
164;Социальное обслуживание и защита;Дети и многодетные семьи
165;Здравоохранение/Медицина;Ошибки врачей, халатность
166;Общественный транспорт;График движения общественного транспорта
167;Социальное обслуживание и защита;Оказание гос. соц. помощи
168;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
169;Дороги;Содержание, ремонт и обустройство тротуаров
170;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
171;Связь и телевидение;★ Информационно-техническая поддержка
172;Благоустройство;Уборка территорий
173;Социальное обслуживание и защита;Оказание гос. соц. помощи
174;ЖКХ;Плохое качество воды
175;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
176;Здравоохранение/Медицина;Очередь
177;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
178;Дороги;Ремонт дороги
179;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
180;Дороги;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
181;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
182;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
183;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
184;Общественный транспорт;Льготы на проезд и тарифы
185;Здравоохранение/Медицина;Льготные лекарства
186;Благоустройство;Уборка территорий
187;Социальное обслуживание и защита;Оказание гос. соц. помощи
188;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
189;Социальное обслуживание и защита;Оказание гос. соц. помощи
190;ЖКХ;Жалобы на управляющие компании
191;ЖКХ;Завышение платы за коммунальные услуги
192;Социальное обслуживание и защита;Дети и многодетные семьи
193;Дороги;Ремонт дороги
194;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
195;ЖКХ;Ненадлежащее качество или отсутствие отопления
196;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
197;Мусор/Свалки/ТКО;Раздельная сортировка отходов
